SalePrice,LotArea,YearBuilt,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,avgAreaIncome,zipCode
208500,8450,2003,1710,2,1,3,8,2,97203,50045
181500,9600,1976,1262,2,0,3,6,2,106363,50049
223500,11250,2001,1786,2,1,3,6,2,97203,50045
250000,14260,2000,2198,2,1,4,9,3,150805,50026
143000,14115,1993,1362,1,1,1,5,2,77061,50039
307000,10084,2004,1694,2,0,3,7,2,104653,50046
200000,10382,1973,2090,2,1,3,7,2,91626,50043
118000,7420,1939,1077,1,0,2,5,1,65080,50015
129500,11200,1965,1040,1,0,3,5,1,62302,50016
144000,12968,1962,912,1,0,2,4,1,62302,50016
157000,10920,1960,1253,1,1,2,5,1,76429,50037
132000,6120,1929,854,1,0,2,5,2,65080,50015
149000,11241,1970,1004,1,0,2,5,2,76429,50037
90000,10791,1967,1296,2,0,2,6,2,62302,50016
159000,13695,2004,1114,1,1,3,6,2,92322,50041
139400,7449,1930,1108,1,0,3,6,1,51360,50017
230000,9742,2002,1795,2,0,3,7,2,97203,50045
129900,4224,1976,1060,1,0,3,6,2,53958,50010
154000,8246,1968,1060,1,0,3,6,1,62302,50016
256300,14230,2007,1600,2,0,3,7,3,138025,50051
134800,7200,1951,900,1,0,3,5,2,76429,50037
306000,11478,2007,1704,2,0,3,7,3,138025,50051
207500,16321,1957,1600,1,0,2,6,1,76429,50037
68500,6324,1927,520,1,0,1,4,1,65080,50015
40000,8500,1920,1317,1,0,3,6,1,51360,50017
149350,8544,1966,1228,1,1,3,6,1,62302,50016
179900,11049,2007,1234,2,0,3,7,2,97203,50045
165500,10552,1959,1700,1,1,4,6,2,76429,50037
277500,7313,2005,1561,2,0,2,6,2,138025,50051
309000,13418,2004,2452,3,1,4,9,3,138025,50051
145000,10859,1994,1097,1,1,3,6,2,97203,50045
153000,8532,1954,1297,1,0,3,5,2,76429,50037
170000,16905,1959,1328,1,1,2,5,1,112753,50047
144000,9180,1983,884,1,0,2,5,2,92322,50041
130250,9200,1975,938,1,0,3,5,1,97203,50045
141000,7945,1959,1150,1,0,3,6,1,76429,50037
319900,7658,2005,1752,2,0,2,6,2,138025,50051
249700,11096,2006,1656,2,0,3,7,3,104653,50046
127000,7742,1966,955,1,0,3,6,1,62302,50016
177000,13869,1997,1470,2,0,3,6,2,92380,50040
114500,6240,1934,1176,1,0,3,6,2,65080,50015
110000,8472,1963,816,1,0,2,5,2,51360,50017
385000,50271,1981,1842,0,1,0,5,3,106363,50049
130000,7134,1955,1360,1,0,3,6,2,76429,50037
180500,10175,1964,1425,2,0,3,7,2,76429,50037
196500,11645,2004,1720,2,1,3,7,2,97203,50045
124900,7200,1972,780,1,0,2,4,1,97203,50045
101000,7200,1920,1111,1,0,3,6,1,51360,50017
202500,6442,2006,1370,2,0,2,6,2,138025,50051
140000,10300,1921,1710,2,0,3,9,2,62452,50014
219500,9375,1997,2034,2,1,3,8,2,97203,50045
317000,9591,2004,2473,2,1,4,9,3,138025,50051
180000,19900,1970,2207,2,0,3,7,2,76429,50037
226000,10665,2003,1479,2,0,3,7,2,97203,50045
80000,4608,1945,747,1,0,2,4,1,62452,50014
225000,15593,1953,2287,2,0,3,7,2,106605,50048
244000,13651,1973,2223,2,0,3,8,2,76429,50037
129500,7599,1982,845,1,0,2,4,2,77061,50039
185000,10141,1998,1718,2,1,3,7,2,92380,50040
144900,10200,1954,1086,1,0,3,6,2,76429,50037
107400,5790,1915,1605,2,0,3,8,1,62452,50014
91000,1596,1973,988,1,0,2,5,1,53958,50010
135750,8475,1956,952,1,0,2,4,1,76429,50037
127000,8635,1948,1285,1,0,2,6,1,65080,50015
136500,10778,1968,1768,2,0,4,8,0,62302,50016
110000,10440,1910,1230,1,1,2,5,2,62452,50014
193500,13000,1968,2142,2,1,4,8,1,76429,50037
153500,4500,1998,1337,2,0,2,5,2,77061,50039
245000,10206,2007,1563,2,0,3,6,3,104653,50046
126500,8892,1960,1065,1,1,3,6,2,76429,50037
168500,8530,1995,1474,2,1,3,7,2,92380,50040
260000,16059,1991,2417,2,1,4,9,2,150805,50026
174000,11911,2005,1560,2,1,3,6,2,92380,50040
123600,8070,1994,990,1,0,3,5,0,97203,50045
109900,7200,1950,1040,1,0,2,4,2,76429,50037
163500,13360,1921,964,1,0,2,5,2,96432,50044
133900,7200,1910,2291,2,0,4,9,2,62452,50014
204750,9337,1997,1786,2,1,3,7,2,97203,50045
185000,9765,1993,1470,2,1,3,6,2,92380,50040
214000,10264,1999,1588,2,0,3,6,2,97203,50045
94750,10921,1965,960,1,0,3,6,1,64108,50036
128950,9320,1959,1225,1,1,3,6,0,76429,50037
205000,10603,1977,1610,2,0,3,6,2,91626,50043
178000,9206,1985,1732,2,1,3,7,2,92322,50041
198900,10402,2009,1226,2,0,3,6,3,97203,50045
169500,7758,1931,1818,1,1,4,7,1,51360,50017
250000,9375,2003,1992,2,1,3,9,2,104653,50046
100000,10800,1885,1047,1,0,2,6,1,62452,50014
115000,8500,1919,1517,2,0,3,7,0,51360,50017
190000,11751,1977,1844,2,0,3,7,2,91626,50043
136900,9525,1954,1855,2,0,4,7,1,64108,50036
180000,7750,2000,1430,2,1,3,7,2,92380,50040
259500,7259,1945,2320,2,1,3,9,1,96432,50044
176000,3230,1999,1458,2,1,2,5,2,104653,50046
139000,11616,1962,1092,1,0,3,6,1,62302,50016
320000,12376,1990,3222,3,0,5,11,3,92322,50041
180000,21453,1969,988,1,0,1,4,2,106605,50048
100000,6060,1939,1123,1,0,3,4,1,51360,50017
136000,9464,1958,1080,1,0,3,5,1,76429,50037
153900,7892,1993,1199,2,0,2,5,2,92322,50041
181000,17043,1979,1586,2,0,3,7,2,91626,50043
84500,6780,1935,754,1,0,2,5,0,51360,50017
128000,4928,1976,958,2,0,2,5,2,69607,50038
87000,4388,1930,840,1,0,3,5,0,62452,50014
155000,7590,1966,1348,1,1,3,6,2,76429,50037
226000,14200,1966,2157,2,1,4,8,2,76429,50037
244000,12224,2000,2054,2,1,3,7,2,92380,50040
150750,7388,1959,1327,1,0,3,7,2,76429,50037
220000,6853,2001,1296,2,0,2,6,2,112753,50047
180000,10335,1968,1721,2,1,3,7,2,62302,50016
174000,10400,1970,1682,2,0,3,7,2,91626,50043
143000,10355,1967,1214,2,0,3,5,1,76429,50037
230000,9066,1999,1852,2,1,3,7,3,97203,50045
231500,15426,1997,1764,2,1,3,7,2,97203,50045
115000,10500,1971,864,1,0,3,5,0,76429,50037
260000,11645,2005,1734,2,0,3,7,2,97203,50045
166000,8520,1952,1385,2,0,4,6,2,76429,50037
204000,10335,1999,1501,2,0,3,6,2,97203,50045
130000,2522,2004,1709,2,0,3,7,2,64108,50036
105000,6120,1931,875,1,0,2,5,1,65080,50015
222500,9505,2001,2035,2,1,3,8,2,92380,50040
141000,7500,2004,1080,1,0,3,6,0,92322,50041
115000,6240,1936,1344,1,0,3,7,1,65080,50015
122000,10356,1975,969,1,1,3,5,2,97203,50045
190000,14803,1971,1993,2,1,4,8,2,91626,50043
235000,13500,1960,1252,1,0,1,4,2,106605,50048
79000,9600,1924,1096,1,0,2,5,0,64108,50036
109500,7200,1950,1040,1,0,2,5,2,76429,50037
254900,12552,2004,1947,2,1,3,8,2,104653,50046
162500,11120,1984,1232,2,0,3,6,2,106363,50049
412500,13688,2003,2668,2,1,3,10,3,138025,50051
103200,5500,1956,882,1,0,1,4,0,62452,50014
152000,5400,1926,1616,2,0,3,5,1,62452,50014
127500,10106,1940,1355,2,0,4,6,0,64108,50036
190000,10708,1955,1867,1,0,2,7,1,106605,50048
183500,8244,2004,1720,2,1,3,7,2,92380,50040
228000,16669,1981,1707,2,1,2,6,2,112753,50047
128500,12358,1941,1382,1,1,2,7,2,62452,50014
215000,31770,1960,1656,1,0,3,7,2,76429,50037
239000,5306,1987,1767,2,0,2,5,2,120437,50050
163000,10197,1961,1362,1,1,3,6,2,76429,50037
184000,12416,1986,1651,2,0,3,7,2,112753,50047
243000,12615,1950,2158,2,0,4,7,2,64108,50036
211000,10029,1988,2060,2,1,4,8,2,106605,50048
172500,13650,1958,1920,2,0,4,8,2,62302,50016
100000,8520,1923,968,1,0,2,5,2,62452,50014
177000,2117,2000,1525,2,1,3,5,2,104653,50046
200100,7588,1920,1802,1,1,4,9,1,96432,50044
120000,9060,1957,1340,1,0,3,7,1,64108,50036
200000,11426,2003,2082,2,1,3,6,2,62452,50014
127000,7438,1908,1252,1,0,3,5,2,65080,50015
475000,22950,1892,3608,2,1,4,12,3,62452,50014
173000,9947,1990,1217,2,0,3,6,2,77061,50039
135000,10410,1916,1656,2,1,3,8,1,62452,50014
286000,4923,2001,1593,1,1,0,5,2,120437,50050
315000,10570,1932,2727,2,1,3,10,2,96432,50044
184000,7472,1972,1479,1,1,4,7,2,76429,50037
192000,9017,1999,1431,2,0,3,6,2,97203,50045
130000,2522,2004,1709,2,0,3,7,2,64108,50036
127000,7180,1972,864,1,0,3,5,1,97203,50045
148500,2280,1976,1456,2,1,3,7,2,69607,50038
274900,9591,2004,1713,2,0,3,7,3,138025,50051
140000,8546,2003,1121,2,0,2,5,2,64108,50036
171500,10125,1977,1279,2,0,3,6,2,77061,50039
112000,7000,1924,1310,2,0,2,6,1,62452,50014
149000,4438,2004,848,1,0,1,3,2,97203,50045
110000,3500,1947,1284,1,1,2,5,1,62452,50014
180500,11851,1990,1442,2,0,3,5,2,92380,50040
143900,13673,1962,1696,1,1,3,8,1,62302,50016
141000,12493,1960,1100,1,0,3,6,1,76429,50037
277000,14364,1988,2062,2,1,3,7,2,92322,50041
145000,8250,1964,1092,1,0,3,6,2,76429,50037
98000,5604,1925,864,1,0,2,5,0,64108,50036
186000,10420,2009,1212,2,0,3,6,2,64108,50036
156000,13568,1995,990,1,0,3,5,2,97203,50045
161750,10900,1977,1392,1,1,3,6,1,97203,50045
134450,10011,1957,1236,1,0,2,6,1,76429,50037
210000,8450,2004,1436,2,0,3,8,2,97203,50045
311500,15660,1939,1954,1,1,3,8,2,96432,50044
200000,8068,2002,2267,2,1,4,8,2,92380,50040
179900,11475,1975,1552,2,1,3,6,2,91626,50043
386250,13472,2003,2392,2,0,3,8,3,138025,50051
106000,1869,1970,987,1,1,2,5,1,57629,50011
125000,8521,1967,912,1,0,3,5,1,62302,50016
192500,3182,2005,1555,2,0,2,7,2,92169,50042
148000,8760,1959,1194,1,0,3,6,1,76429,50037
403000,15138,1995,2794,2,1,4,9,3,150805,50026
94500,1680,1972,987,1,1,2,5,1,57629,50011
128200,10650,1976,894,1,0,3,5,1,97203,50045
216500,7851,2002,1960,2,1,4,8,2,92380,50040
89500,1680,1971,987,1,1,2,5,1,57629,50011
185500,8773,2004,1414,2,0,3,6,2,97203,50045
194500,9453,1993,1744,2,1,3,7,2,92322,50041
113000,8741,1945,1487,1,1,3,7,1,64108,50036
262500,9000,2008,1566,2,0,3,7,2,104653,50046
110500,3880,1945,866,1,0,2,4,0,62452,50014
79000,5000,1900,1440,1,0,3,6,1,62452,50014
120000,10762,1980,1217,1,1,3,6,1,92322,50041
205000,8880,1994,2110,2,1,3,8,2,92322,50041
241500,10400,1988,1872,2,0,3,6,2,91626,50043
